bias,precision_mean,precision_std,recall_mean,recall_std,auroc_mean,auroc_std,dp_mean,dp_std,ftu_mean,ftu_std,type
0,0.893181818,0.006818182,0.35625,0.13125,0.646875,0.052232143,0.30401126,0.201735867,0.213235294,0.036764706,nd
0.25,0.910447761,0,0.7625,0,0.827678571,0,0.036359371,0,0,0,nd
0.5,0.961538462,0.038461538,0.2375,0.2125,0.605357143,0.092857143,0.067440769,0.026624443,0.132352941,0.117647059,nd
0.75,0.887878788,0.021212121,0.78125,0.03125,0.819196429,0.002232143,0.091836735,0.0350692,0.128676471,0.018382353,nd
1,0.910581023,0.000133262,0.7,0.0625,0.800892857,0.026785714,0.148604269,0.112244898,0.279411765,0.102941176,nd
0,0.855411255,0.011255411,0.8125,0,0.808035714,0.008928571,0.147314098,0.020408163,0.176470588,0.117647059,ftu
0.25,0.745848596,0.001404151,0.84375,0.00625,0.716517857,0.003125,0.226718274,0.042106498,0.319852941,0.106617647,ftu
0.5,0.953125,0.046875,0.3875,0.3375,0.666964286,0.141964286,0.073657049,0.007975604,0.110294118,0.095588235,ftu
0.75,0.773931106,0.131729271,0.7375,0.1375,0.672321429,0.083035714,0.3727422,0.178278208,0.272058824,0.227941176,ftu
1,0.920866935,0.014616935,0.54375,0.18125,0.740625,0.086160714,0.034951912,0.013840019,0.084558824,0.047794118,ftu
0,0.930735931,0.021645022,0.3125,0.0625,0.638392857,0.022321429,0.228477598,0.200093831,0.117647059,0.014705882,dp
0.25,0.892307692,0.007692308,0.4,0.175,0.664285714,0.069642857,0.286183439,0.056298381,0.305147059,0.106617647,dp
0.5,0.456521739,0.456521739,0.13125,0.13125,0.556696429,0.056696429,0.100281492,0.100281492,0.014705882,0.014705882,dp
0.75,0.807407407,0.007407407,0.525,0.025,0.673214286,0.0125,0.278207835,0.263664086,0.253676471,0.047794118,dp
1,0.460526316,0.460526316,0.21875,0.21875,0.595982143,0.095982143,0.0110251,0.0110251,0.106617647,0.011029412,dp
